Start Time, Sun Jul 20 22:34:51 GMT-0400 2008
Energy calibration,  Offset: 0, Slope: 0.755919873714447, Quadratic: 0
Live Time (s), 282.713207
Real Time (s), 300
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.755919873714447, 0
2, 1.511839747428894, 0
3, 2.267759621143341, 0
4, 3.023679494857788, 0
5, 3.779599368572235, 0
6, 4.535519242286682, 0
7, 5.291439116001129, 0
8, 6.047358989715576, 0
9, 6.803278863430023, 0
10, 7.55919873714447, 1405
11, 8.315118610858917, 1388
12, 9.071038484573364, 1437
13, 9.826958358287811, 1394
14, 10.582878232002258, 1473
15, 11.338798105716705, 1440
16, 12.094717979431152, 1574
17, 12.8506378531456, 1496
18, 13.606557726860046, 1529
19, 14.362477600574493, 1521
20, 15.11839747428894, 1586
21, 15.874317348003387, 1540
22, 16.630237221717834, 1537
23, 17.38615709543228, 1508
24, 18.14207696914673, 1565
25, 18.897996842861176, 1562
26, 19.653916716575623, 1620
27, 20.40983659029007, 1593
28, 21.165756464004517, 1581
29, 21.921676337718964, 1649
30, 22.67759621143341, 1581
31, 23.433516085147858, 1559
32, 24.189435958862305, 1588
33, 24.94535583257675, 1593
34, 25.7012757062912, 1658
35, 26.457195580005646, 1704
36, 27.213115453720093, 1650
37, 27.96903532743454, 1738
38, 28.724955201148987, 1597
39, 29.480875074863434, 1687
40, 30.23679494857788, 1631
41, 30.992714822292328, 1717
42, 31.748634696006775, 1637
43, 32.50455456972122, 1638
44, 33.26047444343567, 1643
45, 34.016394317150116, 1679
46, 34.77231419086456, 1747
47, 35.52823406457901, 1649
48, 36.28415393829346, 1697
49, 37.040073812007904, 1744
50, 37.79599368572235, 1719
51, 38.5519135594368, 1831
52, 39.307833433151245, 1761
53, 40.06375330686569, 1771
54, 40.81967318058014, 1812
55, 41.575593054294586, 1793
56, 42.33151292800903, 1780
57, 43.08743280172348, 1792
58, 43.84335267543793, 1792
59, 44.599272549152374, 1760
60, 45.35519242286682, 1803
61, 46.11111229658127, 1785
62, 46.867032170295715, 1827
63, 47.62295204401016, 1813
64, 48.37887191772461, 1918
65, 49.134791791439056, 1911
66, 49.8907116651535, 1932
67, 50.64663153886795, 1886
68, 51.4025514125824, 1849
69, 52.158471286296844, 1918
70, 52.91439116001129, 1899
71, 53.67031103372574, 1904
72, 54.426230907440186, 1885
73, 55.18215078115463, 1844
74, 55.93807065486908, 1833
75, 56.69399052858353, 1791
76, 57.449910402297974, 1767
77, 58.20583027601242, 1803
78, 58.96175014972687, 1840
79, 59.717670023441315, 1795
80, 60.47358989715576, 1912
81, 61.22950977087021, 1851
82, 61.985429644584656, 1904
83, 62.7413495182991, 1927
84, 63.49726939201355, 1844
85, 64.253189265728, 1942
86, 65.00910913944244, 1816
