Start Time, Sun Jul 20 23:31:45 GMT-0400 2008
Energy calibration,  Offset: 0, Slope: 0.755919873714447, Quadratic: 0
Live Time (s), 97.465779
Real Time (s), 101.953102
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.755919873714447, 0
2, 1.511839747428894, 0
3, 2.267759621143341, 0
4, 3.023679494857788, 0
5, 3.779599368572235, 0
6, 4.535519242286682, 0
7, 5.291439116001129, 0
8, 6.047358989715576, 0
9, 6.803278863430023, 0
10, 7.55919873714447, 382
11, 8.315118610858917, 381
12, 9.071038484573364, 366
13, 9.826958358287811, 403
14, 10.582878232002258, 401
15, 11.338798105716705, 392
16, 12.094717979431152, 385
17, 12.8506378531456, 407
18, 13.606557726860046, 382
19, 14.362477600574493, 397
20, 15.11839747428894, 370
21, 15.874317348003387, 407
22, 16.630237221717834, 378
23, 17.38615709543228, 438
24, 18.14207696914673, 390
25, 18.897996842861176, 445
26, 19.653916716575623, 400
27, 20.40983659029007, 376
28, 21.165756464004517, 427
29, 21.921676337718964, 397
30, 22.67759621143341, 428
31, 23.433516085147858, 412
32, 24.189435958862305, 451
33, 24.94535583257675, 447
34, 25.7012757062912, 429
35, 26.457195580005646, 437
36, 27.213115453720093, 444
37, 27.96903532743454, 418
38, 28.724955201148987, 447
39, 29.480875074863434, 457
40, 30.23679494857788, 442
41, 30.992714822292328, 415
42, 31.748634696006775, 436
43, 32.50455456972122, 447
44, 33.26047444343567, 410
45, 34.016394317150116, 483
46, 34.77231419086456, 474
47, 35.52823406457901, 451
48, 36.28415393829346, 411
49, 37.040073812007904, 447
50, 37.79599368572235, 491
51, 38.5519135594368, 456
52, 39.307833433151245, 440
53, 40.06375330686569, 458
54, 40.81967318058014, 441
55, 41.575593054294586, 452
56, 42.33151292800903, 467
57, 43.08743280172348, 482
58, 43.84335267543793, 487
59, 44.599272549152374, 451
60, 45.35519242286682, 473
61, 46.11111229658127, 482
62, 46.867032170295715, 496
63, 47.62295204401016, 490
64, 48.37887191772461, 481
65, 49.134791791439056, 449
66, 49.8907116651535, 471
67, 50.64663153886795, 492
68, 51.4025514125824, 492
69, 52.158471286296844, 460
70, 52.91439116001129, 509
71, 53.67031103372574, 517
72, 54.426230907440186, 480
73, 55.18215078115463, 483
74, 55.93807065486908, 463
75, 56.69399052858353, 449
76, 57.449910402297974, 518
77, 58.20583027601242, 493
78, 58.96175014972687, 483
79, 59.717670023441315, 473
80, 60.47358989715576, 476
81, 61.22950977087021, 525
82, 61.985429644584656, 510
83, 62.7413495182991, 463
84, 63.49726939201355, 445
85, 64.253189265728, 494
86, 65.00910913944244, 473
87, 65.76502901315689, 509
88, 66.52094888687134, 486
89, 67.27686876058578, 490
90, 68.03278863430023, 499
91, 68.78870850801468, 459
92, 69.54462838172913, 516
