Start Time, Sun Jul 20 23:01:58 GMT-0400 2008
Energy calibration,  Offset: 0, Slope: 0.755919873714447, Quadratic: 0
Live Time (s), 86.87522
Real Time (s), 86.922843
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.755919873714447, 0
2, 1.511839747428894, 0
3, 2.267759621143341, 0
4, 3.023679494857788, 0
5, 3.779599368572235, 0
6, 4.535519242286682, 0
7, 5.291439116001129, 0
8, 6.047358989715576, 0
9, 6.803278863430023, 0
10, 7.55919873714447, 4
11, 8.315118610858917, 5
12, 9.071038484573364, 1
13, 9.826958358287811, 3
14, 10.582878232002258, 6
15, 11.338798105716705, 6
16, 12.094717979431152, 5
17, 12.8506378531456, 3
18, 13.606557726860046, 3
19, 14.362477600574493, 2
20, 15.11839747428894, 2
21, 15.874317348003387, 6
22, 16.630237221717834, 5
23, 17.38615709543228, 4
24, 18.14207696914673, 3
25, 18.897996842861176, 7
26, 19.653916716575623, 2
27, 20.40983659029007, 5
28, 21.165756464004517, 0
29, 21.921676337718964, 4
30, 22.67759621143341, 5
31, 23.433516085147858, 3
32, 24.189435958862305, 1
33, 24.94535583257675, 6
34, 25.7012757062912, 2
35, 26.457195580005646, 4
36, 27.213115453720093, 5
37, 27.96903532743454, 4
38, 28.724955201148987, 6
39, 29.480875074863434, 2
40, 30.23679494857788, 3
41, 30.992714822292328, 2
42, 31.748634696006775, 4
43, 32.50455456972122, 3
44, 33.26047444343567, 4
45, 34.016394317150116, 4
46, 34.77231419086456, 6
47, 35.52823406457901, 3
48, 36.28415393829346, 1
49, 37.040073812007904, 2
50, 37.79599368572235, 2
51, 38.5519135594368, 2
52, 39.307833433151245, 5
53, 40.06375330686569, 2
54, 40.81967318058014, 3
55, 41.575593054294586, 3
56, 42.33151292800903, 4
57, 43.08743280172348, 2
58, 43.84335267543793, 3
59, 44.599272549152374, 2
60, 45.35519242286682, 5
61, 46.11111229658127, 1
62, 46.867032170295715, 4
63, 47.62295204401016, 4
64, 48.37887191772461, 8
65, 49.134791791439056, 7
66, 49.8907116651535, 7
67, 50.64663153886795, 5
68, 51.4025514125824, 6
69, 52.158471286296844, 6
70, 52.91439116001129, 12
71, 53.67031103372574, 8
72, 54.426230907440186, 5
73, 55.18215078115463, 10
74, 55.93807065486908, 6
75, 56.69399052858353, 6
76, 57.449910402297974, 4
77, 58.20583027601242, 2
78, 58.96175014972687, 1
79, 59.717670023441315, 8
80, 60.47358989715576, 2
81, 61.22950977087021, 5
82, 61.985429644584656, 5
83, 62.7413495182991, 8
84, 63.49726939201355, 4
85, 64.253189265728, 5
86, 65.00910913944244, 6
87, 65.76502901315689, 8
88, 66.52094888687134, 6
89, 67.27686876058578, 9
90, 68.03278863430023, 2
91, 68.78870850801468, 10
92, 69.54462838172913, 4
