img,V_max,n,x,sigma_x
BBL_1922v_186c,19.22,1,28,1
BBL_1922v_186c,19.22,2,41,1
BBL_1931v_164c,19.31,1,29,0.5
BBL_1931v_164c,19.31,2,42.5,1
BBL_4803v_183c,48.03,1,12,1
BBL_4803v_183c,48.03,2,16.5,1
BBL_4803v_183c,48.03,3,23,1
BBL_4803v_183c,48.03,4,29,1
BBL4832v_182c,48.32,1,11.5,0.5
BBL4832v_182c,48.32,2,17,0.5
BBL4832v_182c,48.32,3,22,1
BBL4832v_182c,48.32,4,27.5,1
BBL4842v_190c,48.42,1,11.5,0.5
BBL4842v_190c,48.42,2,17.5,0.5
BBL4842v_190c,48.42,3,22,0.5
BBL4842v_190c,48.42,4,28,1
BBL4842v_190c,48.42,5,33.5,0.5
BBL_1921v_147c,19.21,1,30,1
BBL_1921v_147c,19.21,2,44,1
