Start Time, Mon Sep 4 05:56:00 GMT-0400 2006
Energy calibration,  Offset: 0, Slope: 0.755919873714447, Quadratic: 0
Live Time (s), 299.886885
Real Time (s), 300
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.755919873714447, 0
2, 1.511839747428894, 0
3, 2.267759621143341, 0
4, 3.023679494857788, 0
5, 3.779599368572235, 0
6, 4.535519242286682, 0
7, 5.291439116001129, 0
8, 6.047358989715576, 0
9, 6.803278863430023, 0
10, 7.55919873714447, 18
11, 8.315118610858917, 21
12, 9.071038484573364, 19
13, 9.826958358287811, 21
14, 10.582878232002258, 24
15, 11.338798105716705, 25
16, 12.094717979431152, 29
17, 12.8506378531456, 24
18, 13.606557726860046, 15
19, 14.362477600574493, 23
20, 15.11839747428894, 21
21, 15.874317348003387, 33
22, 16.630237221717834, 27
23, 17.38615709543228, 32
24, 18.14207696914673, 37
25, 18.897996842861176, 26
26, 19.653916716575623, 29
27, 20.40983659029007, 23
28, 21.165756464004517, 28
29, 21.921676337718964, 25
30, 22.67759621143341, 35
31, 23.433516085147858, 26
32, 24.189435958862305, 35
33, 24.94535583257675, 28
34, 25.7012757062912, 27
35, 26.457195580005646, 42
36, 27.213115453720093, 30
37, 27.96903532743454, 48
38, 28.724955201148987, 26
39, 29.480875074863434, 34
40, 30.23679494857788, 37
41, 30.992714822292328, 31
42, 31.748634696006775, 44
43, 32.50455456972122, 52
44, 33.26047444343567, 53
45, 34.016394317150116, 49
46, 34.77231419086456, 45
47, 35.52823406457901, 48
48, 36.28415393829346, 63
49, 37.040073812007904, 56
50, 37.79599368572235, 64
51, 38.5519135594368, 74
52, 39.307833433151245, 63
53, 40.06375330686569, 80
54, 40.81967318058014, 66
55, 41.575593054294586, 96
56, 42.33151292800903, 87
57, 43.08743280172348, 69
58, 43.84335267543793, 79
59, 44.599272549152374, 86
60, 45.35519242286682, 85
61, 46.11111229658127, 93
62, 46.867032170295715, 84
63, 47.62295204401016, 74
64, 48.37887191772461, 82
65, 49.134791791439056, 103
66, 49.8907116651535, 94
67, 50.64663153886795, 85
68, 51.4025514125824, 69
69, 52.158471286296844, 91
70, 52.91439116001129, 93
71, 53.67031103372574, 74
72, 54.426230907440186, 92
73, 55.18215078115463, 75
74, 55.93807065486908, 87
75, 56.69399052858353, 91
76, 57.449910402297974, 88
77, 58.20583027601242, 75
78, 58.96175014972687, 93
79, 59.717670023441315, 87
80, 60.47358989715576, 93
81, 61.22950977087021, 83
82, 61.985429644584656, 75
83, 62.7413495182991, 89
84, 63.49726939201355, 79
85, 64.253189265728, 84
86, 65.00910913944244, 79
87, 65.76502901315689, 92
88, 66.52094888687134, 81
89, 67.27686876058578, 82
90, 68.03278863430023, 100
91, 68.78870850801468, 77
92, 69.54462838172913, 84
